Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Agosto,830,Ucrania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",235056,109.93,327763.59
2018,Agosto,17,Albania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",167427,76.42,228185.34
2018,Agosto,23,Alemania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",17235141.72,8383.83,24703963.13
2018,Agosto,87,Bélgica,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",18917132,9242.82,27344910.2
2018,Agosto,190,Corea,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",19591.2,9.23,27700.46
2018,Agosto,198,Croacia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",83376,35.25,106613.61
2018,Agosto,211,Chile,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",295374,95.87,283297.38
2018,Agosto,245,España,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",931924.82,364.78,1092045.78
2018,Agosto,247,Eslovenia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",12271526.4,6096.65,17938746.96
2018,Agosto,249,Estados Unidos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",6869796.08,3314.3,9819521.89
2018,Agosto,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,594012,328.32,974288.95
2018,Agosto,275,Francia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",800599,299.09,887030.06
2018,Agosto,301,Grecia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1297488,563.66,1669796.57
2018,Agosto,386,Italia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",14030744.08,7002.5,20685765.47
2018,Agosto,467,Malta,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",41688,18.3,54034.42
2018,Agosto,474,Marruecos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",40176,8.32,24561.1
2018,Agosto,538,Noruega,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",584652,267.42,803785.38
2018,Agosto,573,Países Bajos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",3040580,1438.13,4278559.6
2018,Agosto,607,Portugal,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",330042.24,154.68,466088.41
2018,Agosto,628,Reino Unido,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",8610194,4589.48,13576284.91
2018,Agosto,628,Reino Unido,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,4290,2.3,6787.82
